00138,그램,g
00142,킬로그램,kg
00141,밀리그램,mg
00140,마이크로그램,µg
00139,나노그램,ng
00144,피코그램,pg
00001,킬로그램 당 밀리그램,mg/kg
00002,킬로그램 당 마이크로그램,µg/kg
00014,밀리리터 당 밀리그램,mg/mL
00003,제곱미터 당 밀리그램,mg/m2
00004,제곱미터 당 마이크로그램,µg/m2
00096,리터,L
00095,밀리리터,mL
00098,마이크로리터,µL
00092,베크렐,Bq
00086,기가베크렐,giga Bq
00084,메가베크렐,mega Bq
00094,킬로베크렐,kilo Bq
00088,퀴리,Ci
00085,밀리퀴리,mCi
00083,마이크로퀴리,µCi
00005,나노퀴리,nCi
00079,몰,mol
00082,밀리몰,mM
00081,마이크로몰,µmol
00039,국제단위,IU
00043,킬로국제단위,kilo IU
00041,메가국제단위,mega IU
00006,킬로그램 당 국제단위,IU/kg
00136,밀리당량,meq
00050,질량백분율,wt%
00007,적 (또는 방울),drops
00008,제형,dosage form